StationName,Community
State St & Harrison St,The Loop
Wilton Ave & Diversey Pkwy,Lincoln Park
Morgan St & 18th St,Lower West Side
Racine Ave & 18th St,Lower West Side
Wood St & North Ave,West Town
Wood St & Division St,West Town
Loomis St & Taylor St,Near West Side
Sheffield Ave & Kingsbury St,Near North Side
Aberdeen St & Jackson Blvd,Near West Side
May St & Taylor St,Near West Side
Orleans St & Elm St,Near North Side
Fairbanks Ct & Grand Ave,Near North Side
Michigan Ave & Pearson St,Near North Side
McClurg Ct & Illinois St,Near North Side
Larrabee St & North Ave,Near North Side
Larrabee St & Menomonee St,Lincoln Park
Noble St & Milwaukee Ave,West Town
Ashland Ave & Augusta Blvd,West Town
Franklin St & Chicago Ave,Near North Side
Racine Ave & Congress Pkwy,Near West Side
State St & Van Buren St,The Loop
Cannon Dr & Fullerton Ave,Lincoln Park
Streeter Dr & Illinois St,Near North Side
Franklin St & Jackson Blvd,The Loop
Dearborn St & Adams St,The Loop
Wabash Ave & Cermak Rd,Near South Side
Michigan Ave & Washington St,The Loop
State St & Randolph St,The Loop
Michigan Ave & Congress Pkwy,The Loop
Wells St & Walton St,Near North Side
State St & Kinzie St,Near North Side
Larrabee St & Kingsbury St,Near North Side
Dearborn St & Monroe St,The Loop
Clark St & Congress Pkwy,The Loop
Clark St & Randolph St,The Loop
Michigan Ave & Lake St,The Loop
Wells St & Erie St,Near North Side
Ogden Ave & Chicago Ave,West Town
Halsted St & James M Rochford St,Near West Side
Desplaines St & Kinzie St,Near West Side
Clinton St & Roosevelt Rd,Near West Side
Marshfield Ave & Cortland St,Logan Square
Wabash Ave & Roosevelt Rd,The Loop
Dayton St & North Ave,Near North Side
Wood St & Milwaukee Ave,West Town
McCormick Place,Near South Side
Clinton St & Lake St,Near West Side
Sheffield Ave & Fullerton Ave,Lincoln Park
Clinton St & Tilden St,Near West Side
Damen Ave & Pierce Ave,West Town
Morgan St & Lake St,Near West Side
State St & 16th St,Near South Side
Jefferson St & Monroe St,Near West Side
Kingsbury St & Erie St,Near North Side
Canal St & Jackson Blvd,Near West Side
Lake Shore Dr & Monroe St,The Loop
Clinton St & Madison St,Near West Side
Aberdeen St & Madison St,Near West Side
Daley Center Plaza,The Loop
Green St & Milwaukee Ave,West Town
Michigan Ave & Oak St,Near North Side
Eckhart Park,West Town
Racine Ave & Fullerton Ave,Lincoln Park
May St & Randolph St,Near West Side
Millennium Park,The Loop
Clinton St & Washington Blvd,Near West Side
Carpenter St & Huron St,West Town
Sheffield Ave & Willow St,Lincoln Park
Clark St & Armitage Ave,Lincoln Park
Museum Campus,Near South Side
LaSalle St & Washington St,The Loop
Lake Shore Dr & Ohio St,Near North Side
Orleans St & Merchandise Mart Plaza,Near North Side
State St & Pearson St,Near North Side
Halsted St & Polk St,Near West Side
900 W Harrison,Near West Side
State St & Erie St,Near North Side
Sedgwick St & Huron St,Near North Side
Green St & Randolph St,Near West Side
Bissell St & Armitage Ave,Lincoln Park
Sheffield Ave & Addison St,Lake View
Sheffield Ave & Wellington Ave,Lake View
Western Ave & Winnebago Ave,Logan Square
Wilton Ave & Belmont Ave,Lake View
Sedgwick St & North Ave,Lincoln Park
Ashland Ave & Lake St,Near West Side
Wentworth Ave & Archer Ave,Armour Square
Blackstone Ave & Hyde Park Blvd,Hyde Park
Ogden Ave & Congress Pkwy,Near West Side
California Ave & Milwaukee Ave,Logan Square
Damen Ave & Cullerton St,Lower West Side
Clark St & North Ave,Near North Side
Lincoln Ave & Fullerton Ave,Lincoln Park
Damen Ave & Chicago Ave,West Town
Blue Island Ave & 18th St,Lower West Side
Damen Ave & Division St,West Town
Lincoln Ave & Belmont Ave,Lake View
Wentworth Ave & 24th St,Armour Square
Peoria St & Jackson Blvd,Near West Side
Halsted St & 21st St,Lower West Side
Racine Ave & 13th St,Near West Side
Morgan Ave & 14th Pl,Near West Side
Clybourn Ave & Division St,Near North Side
Dearborn Pkwy & Delaware Pl,Near North Side
Clark St & Lincoln Ave,Lincoln Park
Sedgwick St & Webster Ave,Lincoln Park
Larrabee St & Webster Ave,Lincoln Park
Loomis St & Jackson Blvd,Near West Side
Indiana Ave & 26th St,Douglas
State St & 33rd St,Douglas
Calumet Ave & 33rd St,Douglas
Fort Dearborn Dr & 31st St,Douglas
Lincoln Ave & Diversey Pkwy,Lincoln Park
Southport Ave & Wellington Ave,Lake View
Southport Ave & Belmont Ave,Lake View
Clark St & Wellington Ave,Lake View
Lake Shore Dr & Wellington Ave,Lake View
Milwaukee Ave & Wabansia Ave,West Town
Claremont Ave & Hirsch St,West Town
Campbell Ave & North Ave,West Town
Damen Ave & Wellington Ave,North Center
Paulina St & Diversey Pkwy,Lincoln Park
Franklin St & Lake St,The Loop
Clark St & Grace St,Lake View
Ashland Ave & Wrightwood Ave,Lincoln Park
Damen Ave & Coulter St,Lower West Side
Michigan Ave & 14th St,Near South Side
Canal St & Harrison St,Near West Side
Clinton St & 18th St,Lower West Side
May St & Cullerton St,Lower West Side
Mies van der Rohe Way & Chicago Ave,Near North Side
Canal St & Madison St,Near West Side
Wells St & Polk St,The Loop
Clark St & Elm St,Near North Side
Theater on the Lake,Lincoln Park
State St & 19th St,Near West Side
Martin Luther King Dr & Oakwood Blvd,Grand Boulevard
LaSalle St & Illinois St,Near North Side
Damen Ave & Augusta Blvd,West Town
State St & 35th St,Douglas
Stave St & Armitage Ave,Logan Square
Ogden Ave & Race Ave,West Town
Greenview Ave & Fullerton Ave,Lincoln Park
Southport Ave & Wrightwood Ave,Lincoln Park
Canal St & Monroe St,Near West Side
Canal St & Adams St,Near West Side
State St & 29th St,Douglas
Wabash Ave & Wacker Pl,The Loop
Columbus Dr & Randolph St,The Loop
Cityfront Plaza & N Water St,Near North Side
Michigan Ave & Madison St,The Loop
Halsted St & Madison St,Near West Side
Wabash Ave & Grand Ave,Near North Side
King Dr & 47th St,Grand Boulevard
Indiana Ave & 40th St,Grand Boulevard
Halsted St & 18th St,Lower West Side
Western Ave & 21st St,Lower West Side
Prairie Ave & Garfield Blvd,Washington Park
Paulina St & 18th St,Lower West Side
Halsted St & Archer Ave,Bridgeport
Emerald Ave & 28th St,Bridgeport
Ashland Ave & 21st St,Lower West Side
Normal Ave & Archer Ave,Armour Square
Ashland Ave & Division St,West Town
St Clair St & Erie St,Near North Side
Wells St & Hubbard St,Near North Side
Leavitt St & North Ave,West Town
Damen Ave & Grand Ave,West Town
Damen Ave & Madison St,Near West Side
California Ave & Division St,West Town
May St & Fulton St,Near West Side
Wells St & 19th St,Armour Square
Damen Ave & Cortland St,Logan Square
Hampden Ct & Diversey Pkwy,Lake View
Milwaukee Ave & Rockwell St,Logan Square
Clifton Ave & Armitage Ave,Lincoln Park
Halsted St & Willow St,Lincoln Park
Halsted St & Dickens Ave,Lincoln Park
Racine Ave & Belmont Ave,Lake View
Southport Ave & Waveland Ave,Lake View
Damen Ave & Melrose Ave,North Center
Southport Ave & Roscoe St,Lake View
Lincoln Ave & Roscoe St,Lake View
Sheridan Rd & Montrose Ave,Uptown
Pine Grove Ave & Waveland Ave,Lake View
Sangamon St & Washington Blvd,Lake View
Clark St & Montrose Ave,Uptown
Sedgwick St & Schiller St,Near North Side
Martin Luther King Dr & 29th St,Douglas
Ravenswood Ave & Montrose Ave,Lake View
Western Ave & Leland Ave,Lincoln Square
Sheridan Rd & Irving Park Rd,Lake View
Morgan St & Polk St,Near West Side
Damen Ave & Leland Ave,Lincoln Square
Lincoln Ave & Leavitt St,North Center
Ravenswood Ave & Irving Park Rd,North Center
Clarendon Ave & Junior Ter,Uptown
Ashland Ave & Belle Plaine Ave,Lake View
Shore Drive & 55th St,Hyde Park
Woodlawn Ave & 55th St,Hyde Park
Montrose Harbor,Uptown
Ashland Ave & Wellington Ave,Lake View
Clarendon Ave & Leland Ave,Uptown
Greenwood Ave & 47th St,Kenwood
Clifton Ave & Lawrence Ave,Lincoln Park
Pine Grove Ave & Irving Park Rd,Lake View
Indiana Ave & Roosevelt Rd,The Loop
Broadway & Sheridan Rd,Uptown
Lincoln Ave & Waveland Ave,North Center
Logan Blvd & Elston Ave,Logan Square
California Ave & Francis Pl,Logan Square
Kedzie Ave & Milwaukee Ave,Logan Square
Hermitage Ave & Polk St,Near West Side
Halsted St & 37th St,Near West Side
Rhodes Ave & 32nd St,Douglas
Stetson Ave & South Water St,The Loop
Cottage Grove Ave & Oakwood Blvd,Oakland
Lake Park Ave & 47th St,Kenwood
Lake Shore Dr & North Blvd,Near North Side
Cottage Grove Ave & 43rd St,Kenwood
Indiana Ave & 31st St,Douglas
Michigan Ave & 18th St,Near South Side
Racine Ave & 15th St,Near West Side
Ashland Ave & 13th St,Near West Side
California Ave & North Ave,West Town
Ashland Ave & Grand Ave,West Town
Wallace Ave & 35th St,Bridgeport
Halsted St & 35th St,Bridgeport
Morgan St & 31st St,Bridgeport
Western Ave & 24th St,Lower West Side
Halsted St & Maxwell St,Near West Side
LaSalle St & Jackson Blvd,The Loop
Michigan Ave & Jackson Blvd,The Loop
Wood St & Grand Ave,West Town
Franklin St & Quincy St,The Loop
Franklin St & Arcade Pl,The Loop
Larrabee St & Armitage Ave,Lincoln Park
Wells St & Concord Ln,Lincoln Park
Kedzie Ave & Palmer Ct,Logan Square
Wells St & Evergreen Ave,Near North Side
Southport Ave & Clark St,Uptown
Broadway & Wilson Ave,Uptown
Broadway & Berwyn Ave,Edgewater
Broadway & Argyle St,Uptown
Broadway & Belmont Ave,Lake View
Paulina St & Montrose Ave,Lake View
Lincoln Ave & Belle Plaine Ave,North Center
Halsted St & Roscoe St,Lake View
Broadway & Barry Ave,Lake View
Clark St & Schiller St,Near North Side
Sheffield Ave & Wrightwood Ave,Lincoln Park
Broadway & Cornelia Ave,Lake View
Halsted St & Waveland Ave,Lake View
Western Ave & Division St,West Town
Sheridan Rd & Buena Ave,Uptown
Southport Ave & Clybourn Ave,Lincoln Park
Seeley Ave & Roscoe St,North Center
Leavitt St & Armitage Ave,Logan Square
Damen Ave & Charleston St,Logan Square
Lincoln Ave & Eastwood Ave,Lincoln Square
Clarendon Ave & Gordon Ter,Uptown
Lakeview Ave & Fullerton Pkwy,Lincoln Park
Ravenswood Ave & Berteau Ave,Lake View
Leavitt St & Hirsch St,West Town
Damen Ave & Sunnyside Ave,Lincoln Square
Wood St & Taylor St,Near West Side
Southport Ave & Irving Park Rd,Lake View
Greenview Ave & Diversey Pkwy,Lincoln Park
Loomis St & Lexington St,Near West Side
Wabash Ave & 8th St,The Loop
Kimbark Ave & 53rd St,Hyde Park
Sheridan Rd & Lawrence Ave,Uptown
Stockton Dr & Wrightwood Ave,Lincoln Park
Clark St & Winnemac Ave,Uptown
Clark St & Leland Ave,Uptown
Sheffield Ave & Webster Ave,Lincoln Park
Ellis Ave & 58th St,Kenwood
Lake Shore Dr & Diversey Pkwy,Lincoln Park
Lincoln Ave & Addison St,Lake View
Halsted St & Blackhawk St,Near North Side
Halsted St & Diversey Pkwy,Lincoln Park
Ashland Ave & Blackhawk St,West Town
Lake Shore Dr & Belmont Ave,Lake View
Calumet Ave & 35th St,Douglas
Cottage Grove Ave & 47th St,Kenwood
Clark St & Chicago Ave,Near North Side
Calumet Ave & 18th St,Near South Side
Emerald Ave & 31st St,Bridgeport
Clark St & Wrightwood Ave,Lincoln Park
Adler Planetarium,Near South Side
Wolcott Ave & Polk St,Near West Side
Racine Ave & Wrightwood Ave,Lincoln Park
Wolcott Ave & Lawrence Ave,Lincoln Square
Lake Park Ave & 56th St,Hyde Park
Ada St & Washington Blvd,Near West Side
Ashland Ave & Grace St,Lake View
California Ave & 21st St,South Lawndale
Halsted St & Wrightwood Ave,Lincoln Park
Ashland Ave & Chicago Ave,West Town
Cottage Grove Ave & 51st St,Kenwood
