trip_id,starttime,stoptime,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthday,from_community,from_station_latt,from_station_long,to_community,to_station_latt,to_station_long,dist_meters
4118,6/27/2013 12:11,6/27/2013 12:16,480,316,85,Michigan Ave & Oak St,28,Larrabee St & Menomonee St,Customer,null,null,Near North Side,41.901,-87.6238,Lincoln Park,41.9147,-87.6433,2225.18747356355
4275,6/27/2013 14:44,6/27/2013 14:45,77,64,32,Racine Ave & Congress Pkwy,32,Racine Ave & Congress Pkwy,Customer,null,null,Near West Side,41.8746,-87.657,Near West Side,41.8746,-87.657,0
4291,6/27/2013 14:58,6/27/2013 15:05,77,433,32,Racine Ave & Congress Pkwy,19,Loomis St & Taylor St,Customer,null,null,Near West Side,41.8746,-87.657,Near West Side,41.8694,-87.661,667.041100914419
4316,6/27/2013 15:06,6/27/2013 15:09,77,123,19,Loomis St & Taylor St,19,Loomis St & Taylor St,Customer,null,null,Near West Side,41.8694,-87.661,Near West Side,41.8694,-87.661,0
4342,6/27/2013 15:13,6/27/2013 15:27,77,852,19,Loomis St & Taylor St,55,Halsted St & James M Rochford St,Customer,null,null,Near West Side,41.8694,-87.661,Near West Side,41.8659,-87.6466,1257.89176138699
4480,6/27/2013 19:40,6/27/2013 22:28,27,10105,340,Clark St & Wrightwood Ave,46,Wells St & Walton St,Customer,null,null,Lincoln Park,41.9295,-87.6431,Near North Side,41.8999,-87.6344,3367.53364357363
4490,6/27/2013 18:45,6/27/2013 19:03,418,1094,37,Dearborn St & Adams St,76,Lake Shore Dr & Monroe St,Customer,null,null,The Loop,41.8794,-87.6298,The Loop,41.881,-87.6167,1097.5787017109
4592,6/27/2013 19:34,6/27/2013 19:51,170,1020,90,Millennium Park,75,Canal St & Jackson Blvd,Customer,null,null,The Loop,41.881,-87.6241,Near West Side,41.8781,-87.64,1359.436181492
4602,6/27/2013 19:45,6/27/2013 20:42,353,3419,37,Dearborn St & Adams St,37,Dearborn St & Adams St,Customer,null,null,The Loop,41.8794,-87.6298,The Loop,41.8794,-87.6298,0
4607,6/27/2013 19:46,6/27/2013 19:57,369,653,51,Clark St & Randolph St,340,Clark St & Wrightwood Ave,Customer,null,null,The Loop,41.8846,-87.6319,Lincoln Park,41.9295,-87.6431,5080.99487144364
4617,6/27/2013 19:50,6/27/2013 20:19,658,1738,44,State St & Randolph St,44,State St & Randolph St,Customer,null,null,The Loop,41.8847,-87.6277,The Loop,41.8847,-87.6277,0
4619,6/27/2013 19:52,6/27/2013 20:50,533,3482,24,Fairbanks Ct & Grand Ave,24,Fairbanks Ct & Grand Ave,Customer,null,null,Near North Side,41.8919,-87.6206,Near North Side,41.8919,-87.6206,0
4644,6/27/2013 20:22,6/27/2013 20:50,522,1712,20,Sheffield Ave & Kingsbury St,46,Wells St & Walton St,Customer,null,null,Near North Side,41.9096,-87.6535,Near North Side,41.8999,-87.6344,1911.71736863357
4646,6/27/2013 20:22,6/27/2013 20:39,477,996,52,Michigan Ave & Lake St,52,Michigan Ave & Lake St,Customer,null,null,The Loop,41.886,-87.6241,The Loop,41.886,-87.6241,0
4647,6/27/2013 20:25,6/27/2013 20:39,525,818,52,Michigan Ave & Lake St,52,Michigan Ave & Lake St,Customer,null,null,The Loop,41.886,-87.6241,The Loop,41.886,-87.6241,0
4666,6/27/2013 20:33,6/27/2013 21:22,242,2936,44,State St & Randolph St,52,Michigan Ave & Lake St,Customer,null,null,The Loop,41.8847,-87.6277,The Loop,41.886,-87.6241,332.797863811464
4793,6/27/2013 21:39,6/27/2013 21:51,240,730,69,Damen Ave & Pierce Ave,29,Noble St & Milwaukee Ave,Customer,null,null,West Town,41.9094,-87.6777,West Town,41.9007,-87.6626,1582.81718031229
4863,6/27/2013 22:15,6/27/2013 22:36,381,1292,61,Wood St & Milwaukee Ave,17,Wood St & Division St,Customer,null,null,West Town,41.9077,-87.6726,West Town,41.9033,-87.6727,481.721190578136
4865,6/27/2013 22:16,6/27/2013 22:42,343,1511,85,Michigan Ave & Oak St,85,Michigan Ave & Oak St,Customer,null,null,Near North Side,41.901,-87.6238,Near North Side,41.901,-87.6238,0
4866,6/27/2013 22:17,6/27/2013 22:42,220,1512,85,Michigan Ave & Oak St,85,Michigan Ave & Oak St,Customer,null,null,Near North Side,41.901,-87.6238,Near North Side,41.901,-87.6238,0
4867,6/27/2013 22:17,6/27/2013 22:36,157,1125,61,Wood St & Milwaukee Ave,17,Wood St & Division St,Customer,null,null,West Town,41.9077,-87.6726,West Town,41.9033,-87.6727,481.721190578136
4869,6/27/2013 22:20,6/27/2013 22:36,239,964,61,Wood St & Milwaukee Ave,17,Wood St & Division St,Customer,null,null,West Town,41.9077,-87.6726,West Town,41.9033,-87.6727,481.721190578136
4874,6/27/2013 22:23,6/27/2013 22:39,334,972,61,Wood St & Milwaukee Ave,16,Wood St & North Ave,Customer,null,null,West Town,41.9077,-87.6726,West Town,41.9103,-87.6725,297.020254250797
4875,6/27/2013 22:23,6/27/2013 22:39,362,977,61,Wood St & Milwaukee Ave,16,Wood St & North Ave,Customer,null,null,West Town,41.9077,-87.6726,West Town,41.9103,-87.6725,297.020254250797
4883,6/27/2013 22:26,6/27/2013 23:04,221,2272,85,Michigan Ave & Oak St,85,Michigan Ave & Oak St,Customer,null,null,Near North Side,41.901,-87.6238,Near North Side,41.901,-87.6238,0
4896,6/27/2013 22:33,6/27/2013 23:05,409,1911,85,Michigan Ave & Oak St,85,Michigan Ave & Oak St,Customer,null,null,Near North Side,41.901,-87.6238,Near North Side,41.901,-87.6238,0
4897,6/27/2013 22:35,6/27/2013 23:04,222,1758,85,Michigan Ave & Oak St,85,Michigan Ave & Oak St,Customer,null,null,Near North Side,41.901,-87.6238,Near North Side,41.901,-87.6238,0
4902,6/27/2013 22:41,6/27/2013 22:53,257,730,17,Wood St & Division St,61,Wood St & Milwaukee Ave,Customer,null,null,West Town,41.9033,-87.6727,West Town,41.9077,-87.6726,481.721190578123
4943,6/27/2013 23:05,6/27/2013 23:37,325,1866,67,Sheffield Ave & Fullerton Ave,348,California Ave & 21st St,Customer,null,null,Lincoln Park,41.9256,-87.6537,South Lawndale,41.854,-87.6954,8672.88786721969
4946,6/27/2013 23:06,6/27/2013 23:37,530,1856,67,Sheffield Ave & Fullerton Ave,34,Cannon Dr & Fullerton Ave,Customer,null,null,Lincoln Park,41.9256,-87.6537,Lincoln Park,41.9268,-87.6344,1604.27584992647
4954,6/27/2013 23:07,6/27/2013 23:26,164,1117,61,Wood St & Milwaukee Ave,30,Ashland Ave & Augusta Blvd,Customer,null,null,West Town,41.9077,-87.6726,West Town,41.8996,-87.6677,976.736586473385
4955,6/27/2013 23:09,6/27/2013 23:26,229,980,61,Wood St & Milwaukee Ave,30,Ashland Ave & Augusta Blvd,Customer,null,null,West Town,41.9077,-87.6726,West Town,41.8996,-87.6677,976.736586473385
4972,6/27/2013 23:24,6/27/2013 23:51,176,1642,85,Michigan Ave & Oak St,85,Michigan Ave & Oak St,Customer,null,null,Near North Side,41.901,-87.6238,Near North Side,41.901,-87.6238,0
4986,6/27/2013 23:36,6/28/2013 0:34,221,3513,85,Michigan Ave & Oak St,85,Michigan Ave & Oak St,Customer,null,null,Near North Side,41.901,-87.6238,Near North Side,41.901,-87.6238,0
4989,6/27/2013 23:43,6/28/2013 0:21,159,2285,34,Cannon Dr & Fullerton Ave,34,Cannon Dr & Fullerton Ave,Customer,null,null,Lincoln Park,41.9268,-87.6344,Lincoln Park,41.9268,-87.6344,0
4991,6/27/2013 23:44,6/27/2013 23:51,306,423,32,Racine Ave & Congress Pkwy,15,Racine Ave & 18th St,Customer,null,null,Near West Side,41.8746,-87.657,Lower West Side,41.8582,-87.6565,1828.71229566052
5032,6/28/2013 0:04,6/28/2013 0:37,228,1995,73,Jefferson St & Monroe St,73,Jefferson St & Monroe St,Customer,null,null,Near West Side,41.8804,-87.6427,Near West Side,41.8804,-87.6427,0
5033,6/28/2013 0:04,6/28/2013 0:37,251,1977,73,Jefferson St & Monroe St,73,Jefferson St & Monroe St,Customer,null,null,Near West Side,41.8804,-87.6427,Near West Side,41.8804,-87.6427,0
5035,6/28/2013 0:08,6/28/2013 0:24,141,944,90,Millennium Park,90,Millennium Park,Customer,null,null,The Loop,41.881,-87.6241,The Loop,41.881,-87.6241,0
