CommunityArea,id,stationName,availableDocks,totalDocks,latitude,longitude,statusValue,statusKey,availableBikes,stAddress1,stAddress2,city,postalCode,location,altitude,testStation,lastCommunicationTime,landMark
The Loop,5,State St & Harrison St,18,19,41.87395806,-87.62773949,In Service,1,1,State St & Harrison St,,,,620 S. State St.,,FALSE,,30
Lincoln Park,13,Wilton Ave & Diversey Pkwy,13,19,41.93250008,-87.65268082,In Service,1,6,Wilton Ave & Diversey Pkwy,,Chicago,,2790 N.Wilton Ave,,FALSE,,66
Lower West Side,14,Morgan St & 18th St,12,15,41.858086,-87.651073,In Service,1,3,Morgan St & 18th St,,Chicago,,962 W. 18th St,,FALSE,,163
Lower West Side,15,Racine Ave & 18th St,11,15,41.85818061,-87.65648665,In Service,1,4,Racine Ave & 18th St,,Chicago,,1722 S Racine Ave,,FALSE,,164
West Town,16,Wood St & North Ave,5,11,41.910329,-87.672516,In Service,1,6,Wood St & North Ave,,,,1553 N Wood St,,FALSE,,223
West Town,17,Wood St & Division St,6,15,41.90332,-87.67273,In Service,1,8,Wood St & Division St,,,,1802 W. Divison St,,FALSE,,246
Near West Side,19,Loomis St & Taylor St,10,15,41.869417,-87.660996,In Service,1,5,Loomis St & Taylor St,,Chicago,,,,FALSE,,139
Near North Side,20,Sheffield Ave & Kingsbury St,9,15,41.90959193,-87.65349723,In Service,1,6,Sheffield Ave & Kingsbury St,,Chicago,,1009 W. Weed st,,FALSE,,154
Near West Side,21,Aberdeen St & Jackson Blvd,10,15,41.87772613,-87.65478743,In Service,1,4,Aberdeen St & Jackson Blvd,,Chicago,,1103 W.Jackson Blvd,,FALSE,,157
Near West Side,22,May St & Taylor St,12,15,41.8694821,-87.6554864,In Service,1,3,May St & Taylor St,,Chicago,,1134 W. Taylor St,,FALSE,,160
Near North Side,23,Orleans St & Elm St,15,15,41.902924,-87.637715,In Service,1,0,Orleans St & Elm St,,,,350 W. Elm st,,FALSE,,172
Near North Side,24,Fairbanks Ct & Grand Ave,15,15,41.89186,-87.62062,In Service,1,0,Fairbanks Ct & Grand Ave,,,,240 E.Grand Ave.,,FALSE,,262
Near North Side,25,Michigan Ave & Pearson St,4,23,41.89766,-87.62351,In Service,1,19,Michigan Ave & Pearson st,,,,150 E.Pearson st,,FALSE,,34
