DAY,TIME_INTERVAL,TOTAL
2013-06-27,11:00,2
2013-06-27,13:00,1
2013-06-27,14:00,2
2013-06-27,15:00,1
2013-06-27,16:00,1
2013-06-27,18:00,4
2013-06-27,19:00,11
2013-06-27,1:00,1
2013-06-27,20:00,2
2013-06-27,21:00,2
2013-06-27,22:00,3
2013-06-28,10:00,11
2013-06-28,11:00,23
2013-06-28,12:00,27
2013-06-28,13:00,27
2013-06-28,14:00,25
2013-06-28,15:00,14
2013-06-28,16:00,24
2013-06-28,17:00,23
2013-06-28,18:00,37
2013-06-28,19:00,14
2013-06-28,20:00,9
2013-06-28,21:00,12
2013-06-28,22:00,10
2013-06-28,2:00,2
2013-06-28,3:00,2
2013-06-28,5:00,2
2013-06-28,6:00,4
2013-06-28,7:00,14
2013-06-28,8:00,20
2013-06-28,9:00,14
2013-06-29,0:00,3
2013-06-29,10:00,17
2013-06-29,11:00,32
2013-06-29,12:00,33
2013-06-29,13:00,59
2013-06-29,14:00,46
2013-06-29,15:00,57
2013-06-29,16:00,44
2013-06-29,17:00,54
2013-06-29,18:00,43
2013-06-29,19:00,34
2013-06-29,20:00,8
2013-06-29,21:00,11
2013-06-29,22:00,4
2013-06-29,2:00,1
2013-06-29,6:00,3
2013-06-29,7:00,11
2013-06-29,8:00,9
2013-06-29,9:00,14
2013-06-30,0:00,3
2013-06-30,10:00,43
2013-06-30,11:00,62
2013-06-30,12:00,87
2013-06-30,13:00,76
2013-06-30,14:00,104
2013-06-30,15:00,96
2013-06-30,16:00,77
2013-06-30,17:00,68
2013-06-30,18:00,65
2013-06-30,19:00,26
2013-06-30,1:00,15
2013-06-30,20:00,19
2013-06-30,21:00,16
2013-06-30,22:00,8
2013-06-30,2:00,5
2013-06-30,3:00,2
2013-06-30,4:00,1
2013-06-30,7:00,14
2013-06-30,8:00,9
2013-06-30,9:00,19
2013-07-01,0:00,3
2013-07-01,10:00,27
2013-07-01,11:00,41
2013-07-01,12:00,46
2013-07-01,13:00,34
2013-07-01,14:00,51
2013-07-01,15:00,48
2013-07-01,16:00,57
2013-07-01,17:00,70
2013-07-01,18:00,31
2013-07-01,19:00,39
2013-07-01,1:00,1
2013-07-01,20:00,26
2013-07-01,21:00,14
2013-07-01,22:00,4
2013-07-01,2:00,1
2013-07-01,6:00,4
2013-07-01,7:00,25
2013-07-01,8:00,17
2013-07-01,9:00,29
2013-07-02,0:00,2
2013-07-02,10:00,17
2013-07-02,11:00,19
2013-07-02,12:00,23
2013-07-02,13:00,23
2013-07-02,14:00,25
2013-07-02,15:00,28
2013-07-02,16:00,34
2013-07-02,17:00,35
2013-07-02,18:00,15
2013-07-02,19:00,19
2013-07-02,20:00,19
2013-07-02,21:00,5
2013-07-02,22:00,1
2013-07-02,6:00,6
2013-07-02,7:00,19
2013-07-02,8:00,15
2013-07-02,9:00,18
2013-07-03,10:00,14
2013-07-03,11:00,19
2013-07-03,12:00,12
2013-07-03,13:00,22
2013-07-03,14:00,41
2013-07-03,15:00,27
2013-07-03,16:00,6
2013-07-03,17:00,16
2013-07-03,18:00,10
2013-07-03,19:00,16
2013-07-03,1:00,1
2013-07-03,20:00,9
2013-07-03,21:00,13
2013-07-03,22:00,8
2013-07-03,3:00,1
2013-07-03,5:00,1
2013-07-03,6:00,7
2013-07-03,7:00,13
2013-07-03,8:00,14
2013-07-03,9:00,8
2013-07-04,0:00,10
2013-07-04,10:00,56
2013-07-04,11:00,74
2013-07-04,12:00,134
2013-07-04,13:00,144
2013-07-04,14:00,126
2013-07-04,15:00,133
2013-07-04,16:00,126
2013-07-04,17:00,85
2013-07-04,18:00,89
2013-07-04,19:00,71
2013-07-04,1:00,4
2013-07-04,20:00,69
2013-07-04,21:00,67
2013-07-04,22:00,32
2013-07-04,3:00,1
2013-07-04,5:00,1
2013-07-04,6:00,5
2013-07-04,7:00,7
2013-07-04,8:00,19
2013-07-04,9:00,44
2013-07-05,0:00,4
2013-07-05,10:00,68
2013-07-05,11:00,98
2013-07-05,12:00,120
2013-07-05,13:00,111
2013-07-05,14:00,108
2013-07-05,15:00,129
2013-07-05,16:00,89
2013-07-05,17:00,86
2013-07-05,18:00,62
2013-07-05,19:00,67
2013-07-05,1:00,9
2013-07-05,20:00,50
2013-07-05,21:00,19
2013-07-05,22:00,35
2013-07-05,2:00,2
2013-07-05,5:00,1
2013-07-05,6:00,12
2013-07-05,7:00,12
2013-07-05,8:00,20
2013-07-05,9:00,31
2013-07-06,0:00,11
2013-07-06,10:00,104
2013-07-06,11:00,107
2013-07-06,12:00,142
2013-07-06,13:00,124
2013-07-06,14:00,157
2013-07-06,15:00,151
2013-07-06,16:00,126
2013-07-06,17:00,99
2013-07-06,18:00,91
2013-07-06,19:00,92
2013-07-06,1:00,15
2013-07-06,20:00,56
2013-07-06,21:00,38
2013-07-06,22:00,34
2013-07-06,2:00,10
2013-07-06,3:00,14
2013-07-06,4:00,4
2013-07-06,5:00,2
2013-07-06,7:00,4
2013-07-06,8:00,43
2013-07-06,9:00,33
2013-07-07,0:00,17
2013-07-07,10:00,81
2013-07-07,11:00,74
2013-07-07,12:00,123
2013-07-07,13:00,150
2013-07-07,14:00,88
2013-07-07,15:00,101
2013-07-07,16:00,81
2013-07-07,17:00,88
2013-07-07,18:00,77
2013-07-07,19:00,44
2013-07-07,1:00,11
2013-07-07,20:00,39
2013-07-07,21:00,23
2013-07-07,22:00,19
2013-07-07,2:00,1
2013-07-07,3:00,3
2013-07-07,4:00,1
2013-07-07,5:00,3
2013-07-07,6:00,2
2013-07-07,7:00,10
2013-07-07,8:00,27
2013-07-07,9:00,42
2013-07-08,0:00,6
2013-07-08,11:00,2
2013-07-08,12:00,15
2013-07-08,13:00,26
2013-07-08,14:00,18
2013-07-08,15:00,34
2013-07-08,16:00,45
2013-07-08,17:00,57
2013-07-08,18:00,33
2013-07-08,19:00,29
2013-07-08,1:00,5
2013-07-08,20:00,18
2013-07-08,21:00,9
2013-07-08,22:00,4
2013-07-08,4:00,1
2013-07-08,5:00,5
2013-07-08,6:00,3
2013-07-08,7:00,10
2013-07-08,8:00,15
2013-07-08,9:00,5
2013-07-09,0:00,1
2013-07-09,10:00,18
2013-07-09,11:00,31
2013-07-09,12:00,22
2013-07-09,13:00,31
2013-07-09,14:00,28
2013-07-09,15:00,18
2013-07-09,16:00,40
2013-07-09,17:00,53
2013-07-09,18:00,30
2013-07-09,19:00,49
2013-07-09,20:00,25
2013-07-09,21:00,23
2013-07-09,22:00,15
2013-07-09,3:00,3
2013-07-09,4:00,2
2013-07-09,6:00,9
2013-07-09,7:00,22
2013-07-09,8:00,15
2013-07-09,9:00,10
2013-07-10,0:00,7
2013-07-10,10:00,29
2013-07-10,11:00,29
2013-07-10,12:00,29
2013-07-10,13:00,34
2013-07-10,14:00,41
2013-07-10,15:00,36
2013-07-10,16:00,60
2013-07-10,17:00,72
2013-07-10,18:00,60
2013-07-10,19:00,36
2013-07-10,1:00,1
2013-07-10,20:00,55
2013-07-10,21:00,19
2013-07-10,22:00,18
2013-07-10,2:00,4
2013-07-10,3:00,2
2013-07-10,4:00,1
2013-07-10,5:00,1
2013-07-10,6:00,4
2013-07-10,7:00,20
2013-07-10,8:00,14
2013-07-10,9:00,9
2013-07-11,0:00,4
2013-07-11,10:00,19
2013-07-11,11:00,47
2013-07-11,12:00,57
2013-07-11,13:00,55
2013-07-11,14:00,51
2013-07-11,15:00,52
2013-07-11,16:00,64
2013-07-11,17:00,94
2013-07-11,18:00,55
2013-07-11,19:00,65
2013-07-11,1:00,9
2013-07-11,20:00,54
2013-07-11,21:00,37
2013-07-11,22:00,30
2013-07-11,2:00,5
2013-07-11,6:00,9
2013-07-11,7:00,23
2013-07-11,8:00,28
2013-07-11,9:00,22
2013-07-12,0:00,7
2013-07-12,10:00,35
2013-07-12,11:00,73
2013-07-12,12:00,65
2013-07-12,13:00,51
2013-07-12,14:00,54
2013-07-12,15:00,69
2013-07-12,16:00,99
2013-07-12,17:00,90
2013-07-12,18:00,72
2013-07-12,19:00,76
2013-07-12,1:00,4
2013-07-12,20:00,46
2013-07-12,21:00,26
2013-07-12,22:00,18
2013-07-12,3:00,1
2013-07-12,4:00,1
2013-07-12,5:00,2
2013-07-12,6:00,10
2013-07-12,7:00,34
2013-07-12,8:00,28
2013-07-12,9:00,28
2013-07-13,0:00,24
2013-07-13,10:00,88
2013-07-13,11:00,143
2013-07-13,12:00,127
2013-07-13,13:00,197
2013-07-13,14:00,127
2013-07-13,15:00,143
2013-07-13,16:00,136
2013-07-13,17:00,106
2013-07-13,18:00,75
2013-07-13,19:00,86
2013-07-13,1:00,12
2013-07-13,20:00,46
2013-07-13,21:00,32
2013-07-13,22:00,37
2013-07-13,2:00,14
2013-07-13,3:00,1
2013-07-13,4:00,3
2013-07-13,5:00,6
2013-07-13,6:00,6
2013-07-13,7:00,17
2013-07-13,8:00,25
2013-07-13,9:00,44
2013-07-14,0:00,18
2013-07-14,10:00,74
2013-07-14,11:00,76
2013-07-14,12:00,111
2013-07-14,13:00,148
2013-07-14,14:00,165
2013-07-14,15:00,158
2013-07-14,16:00,110
2013-07-14,17:00,111
2013-07-14,18:00,83
2013-07-14,19:00,77
2013-07-14,1:00,24
2013-07-14,20:00,60
2013-07-14,21:00,50
2013-07-14,22:00,24
2013-07-14,2:00,7
2013-07-14,3:00,1
2013-07-14,5:00,5
2013-07-14,6:00,3
2013-07-14,7:00,22
2013-07-14,8:00,29
2013-07-14,9:00,43
2013-07-15,0:00,5
2013-07-15,10:00,31
2013-07-15,11:00,45
2013-07-15,12:00,52
2013-07-15,13:00,43
2013-07-15,14:00,50
2013-07-15,15:00,56
2013-07-15,16:00,64
2013-07-15,17:00,79
2013-07-15,18:00,59
2013-07-15,19:00,43
2013-07-15,1:00,4
2013-07-15,20:00,29
2013-07-15,21:00,19
2013-07-15,22:00,8
2013-07-15,2:00,2
2013-07-15,3:00,1
2013-07-15,5:00,5
2013-07-15,6:00,10
2013-07-15,7:00,37
2013-07-15,8:00,32
2013-07-15,9:00,14
2013-07-16,0:00,12
2013-07-16,10:00,33
2013-07-16,11:00,23
2013-07-16,12:00,41
2013-07-16,13:00,30
2013-07-16,14:00,43
2013-07-16,15:00,46
2013-07-16,16:00,67
2013-07-16,17:00,85
2013-07-16,18:00,66
2013-07-16,19:00,54
2013-07-16,1:00,3
2013-07-16,20:00,36
2013-07-16,21:00,48
2013-07-16,22:00,20
2013-07-16,2:00,3
2013-07-16,5:00,4
