community,stationid,stationname
Armour Square,209,Normal Ave & Archer Ave
Armour Square,218,Wells St & 19th St
Armour Square,132,Wentworth Ave & 24th St
Armour Square,120,Wentworth Ave & Archer Ave
Bridgeport,207,Emerald Ave & 28th St
Bridgeport,339,Emerald Ave & 31st St
Bridgeport,279,Halsted St & 35th St
Bridgeport,206,Halsted St & Archer Ave
Bridgeport,280,Morgan St & 31st St
Bridgeport,278,Wallace Ave & 35th St
Douglas,149,Calumet Ave & 33rd St
Douglas,335,Calumet Ave & 35th St
Douglas,150,Fort Dearborn Dr & 31st St
Douglas,147,Indiana Ave & 26th St
Douglas,272,Indiana Ave & 31st St
Douglas,237,Martin Luther King Dr & 29th St
Douglas,263,Rhodes Ave & 32nd St
Douglas,193,State St & 29th St
Douglas,148,State St & 33rd St
Douglas,184,State St & 35th St
Edgewater,294,Broadway & Berwyn Ave
Grand Boulevard,201,Indiana Ave & 40th St
Grand Boulevard,200,King Dr & 47th St
Grand Boulevard,179,Martin Luther King Dr & Oakwood Blvd
Hyde Park,121,Blackstone Ave & Hyde Park Blvd
Hyde Park,322,Kimbark Ave & 53rd St
Hyde Park,345,Lake Park Ave & 56th St
Hyde Park,247,Shore Drive & 55th St
Hyde Park,248,Woodlawn Ave & 55th St
Kenwood,271,Cottage Grove Ave & 43rd St
Kenwood,336,Cottage Grove Ave & 47th St
Kenwood,351,Cottage Grove Ave & 51st St
Kenwood,328,Ellis Ave & 58th St
Kenwood,252,Greenwood Ave & 47th St
Kenwood,267,Lake Park Ave & 47th St
Lake View,246,Ashland Ave & Belle Plaine Ave
Lake View,347,Ashland Ave & Grace St
Lake View,250,Ashland Ave & Wellington Ave
Lake View,300,Broadway & Barry Ave
Lake View,296,Broadway & Belmont Ave
Lake View,303,Broadway & Cornelia Ave
Lake View,165,Clark St & Grace St
Lake View,156,Clark St & Wellington Ave
Lake View,299,Halsted St & Roscoe St
Lake View,304,Halsted St & Waveland Ave
Lake View,220,Hampden Ct & Diversey Pkwy
Lake View,334,Lake Shore Dr & Belmont Ave
Lake View,157,Lake Shore Dr & Wellington Ave
Lake View,330,Lincoln Ave & Addison St
Lake View,131,Lincoln Ave & Belmont Ave
Lake View,230,Lincoln Ave & Roscoe St
Lake View,297,Paulina St & Montrose Ave
Lake View,254,Pine Grove Ave & Irving Park Rd
Lake View,232,Pine Grove Ave & Waveland Ave
Lake View,226,Racine Ave & Belmont Ave
Lake View,314,Ravenswood Ave & Berteau Ave
Lake View,238,Ravenswood Ave & Montrose Ave
Lake View,233,Sangamon St & Washington Blvd
Lake View,114,Sheffield Ave & Addison St
Lake View,115,Sheffield Ave & Wellington Ave
Lake View,240,Sheridan Rd & Irving Park Rd
Lake View,154,Southport Ave & Belmont Ave
Lake View,318,Southport Ave & Irving Park Rd
Lake View,229,Southport Ave & Roscoe St
Lake View,227,Southport Ave & Waveland Ave
Lake View,153,Southport Ave & Wellington Ave
Lake View,117,Wilton Ave & Belmont Ave
Lincoln Park,166,Ashland Ave & Wrightwood Ave
Lincoln Park,113,Bissell St & Armitage Ave
Lincoln Park,34,Cannon Dr & Fullerton Ave
Lincoln Park,94,Clark St & Armitage Ave
Lincoln Park,141,Clark St & Lincoln Ave
Lincoln Park,340,Clark St & Wrightwood Ave
Lincoln Park,223,Clifton Ave & Armitage Ave
Lincoln Park,253,Clifton Ave & Lawrence Ave
Lincoln Park,319,Greenview Ave & Diversey Pkwy
Lincoln Park,188,Greenview Ave & Fullerton Ave
Lincoln Park,225,Halsted St & Dickens Ave
Lincoln Park,332,Halsted St & Diversey Pkwy
Lincoln Park,224,Halsted St & Willow St
Lincoln Park,349,Halsted St & Wrightwood Ave
Lincoln Park,329,Lake Shore Dr & Diversey Pkwy
Lincoln Park,313,Lakeview Ave & Fullerton Pkwy
Lincoln Park,288,Larrabee St & Armitage Ave
Lincoln Park,28,Larrabee St & Menomonee St
Lincoln Park,144,Larrabee St & Webster Ave
Lincoln Park,152,Lincoln Ave & Diversey Pkwy
Lincoln Park,127,Lincoln Ave & Fullerton Ave
Lincoln Park,163,Paulina St & Diversey Pkwy
Lincoln Park,87,Racine Ave & Fullerton Ave
Lincoln Park,343,Racine Ave & Wrightwood Ave
Lincoln Park,118,Sedgwick St & North Ave
Lincoln Park,143,Sedgwick St & Webster Ave
Lincoln Park,67,Sheffield Ave & Fullerton Ave
Lincoln Park,327,Sheffield Ave & Webster Ave
Lincoln Park,93,Sheffield Ave & Willow St
Lincoln Park,302,Sheffield Ave & Wrightwood Ave
Lincoln Park,307,Southport Ave & Clybourn Ave
Lincoln Park,190,Southport Ave & Wrightwood Ave
Lincoln Park,324,Stockton Dr & Wrightwood Ave
Lincoln Park,177,Theater on the Lake
Lincoln Park,289,Wells St & Concord Ln
Lincoln Park,13,Wilton Ave & Diversey Pkwy
Lincoln Square,242,Damen Ave & Leland Ave
Lincoln Square,316,Damen Ave & Sunnyside Ave
Lincoln Square,311,Lincoln Ave & Eastwood Ave
Lincoln Square,239,Western Ave & Leland Ave
Lincoln Square,344,Wolcott Ave & Lawrence Ave
Logan Square,259,California Ave & Francis Pl
Logan Square,123,California Ave & Milwaukee Ave
Logan Square,310,Damen Ave & Charleston St
Logan Square,219,Damen Ave & Cortland St
Logan Square,260,Kedzie Ave & Milwaukee Ave
Logan Square,290,Kedzie Ave & Palmer Ct
Logan Square,309,Leavitt St & Armitage Ave
Logan Square,258,Logan Blvd & Elston Ave
Logan Square,58,Marshfield Ave & Cortland St
Logan Square,222,Milwaukee Ave & Rockwell St
Logan Square,185,Stave St & Armitage Ave
Logan Square,116,Western Ave & Winnebago Ave
Lower West Side,208,Ashland Ave & 21st St
Lower West Side,129,Blue Island Ave & 18th St
Lower West Side,170,Clinton St & 18th St
Lower West Side,167,Damen Ave & Coulter St
Lower West Side,124,Damen Ave & Cullerton St
Lower West Side,202,Halsted St & 18th St
Lower West Side,135,Halsted St & 21st St
Lower West Side,171,May St & Cullerton St
Lower West Side,14,Morgan St & 18th St
Lower West Side,205,Paulina St & 18th St
Lower West Side,15,Racine Ave & 18th St
Lower West Side,203,Western Ave & 21st St
Lower West Side,281,Western Ave & 24th St
Near North Side,196,Cityfront Plaza & N Water St
Near North Side,337,Clark St & Chicago Ave
Near North Side,176,Clark St & Elm St
Near North Side,126,Clark St & North Ave
Near North Side,301,Clark St & Schiller St
Near North Side,138,Clybourn Ave & Division St
Near North Side,60,Dayton St & North Ave
Near North Side,140,Dearborn Pkwy & Delaware Pl
Near North Side,24,Fairbanks Ct & Grand Ave
Near North Side,31,Franklin St & Chicago Ave
Near North Side,331,Halsted St & Blackhawk St
Near North Side,74,Kingsbury St & Erie St
Near North Side,268,Lake Shore Dr & North Blvd
Near North Side,99,Lake Shore Dr & Ohio St
Near North Side,48,Larrabee St & Kingsbury St
Near North Side,27,Larrabee St & North Ave
Near North Side,181,LaSalle St & Illinois St
Near North Side,26,McClurg Ct & Illinois St
Near North Side,85,Michigan Ave & Oak St
Near North Side,25,Michigan Ave & Pearson St
Near North Side,173,Mies van der Rohe Way & Chicago Ave
Near North Side,23,Orleans St & Elm St
Near North Side,100,Orleans St & Merchandise Mart Plaza
Near North Side,111,Sedgwick St & Huron St
Near North Side,236,Sedgwick St & Schiller St
Near North Side,20,Sheffield Ave & Kingsbury St
Near North Side,211,St Clair St & Erie St
Near North Side,110,State St & Erie St
Near North Side,47,State St & Kinzie St
Near North Side,106,State St & Pearson St
Near North Side,35,Streeter Dr & Illinois St
Near North Side,199,Wabash Ave & Grand Ave
Near North Side,53,Wells St & Erie St
Near North Side,291,Wells St & Evergreen Ave
Near North Side,212,Wells St & Hubbard St
Near North Side,46,Wells St & Walton St
Near South Side,341,Adler Planetarium
Near South Side,338,Calumet Ave & 18th St
Near South Side,62,McCormick Place
Near South Side,168,Michigan Ave & 14th St
Near South Side,273,Michigan Ave & 18th St
Near South Side,97,Museum Campus
Near South Side,72,State St & 16th St
Near South Side,42,Wabash Ave & Cermak Rd
Near West Side,109,900 W Harrison
Near West Side,21,Aberdeen St & Jackson Blvd
Near West Side,80,Aberdeen St & Madison St
Near West Side,346,Ada St & Washington Blvd
Near West Side,275,Ashland Ave & 13th St
Near West Side,119,Ashland Ave & Lake St
Near West Side,192,Canal St & Adams St
Near West Side,169,Canal St & Harrison St
Near West Side,75,Canal St & Jackson Blvd
Near West Side,174,Canal St & Madison St
Near West Side,191,Canal St & Monroe St
Near West Side,66,Clinton St & Lake St
Near West Side,77,Clinton St & Madison St
Near West Side,57,Clinton St & Roosevelt Rd
Near West Side,68,Clinton St & Tilden St
Near West Side,91,Clinton St & Washington Blvd
Near West Side,215,Damen Ave & Madison St
Near West Side,56,Desplaines St & Kinzie St
Near West Side,112,Green St & Randolph St
Near West Side,262,Halsted St & 37th St
Near West Side,55,Halsted St & James M Rochford St
Near West Side,198,Halsted St & Madison St
Near West Side,282,Halsted St & Maxwell St
Near West Side,108,Halsted St & Polk St
Near West Side,261,Hermitage Ave & Polk St
Near West Side,73,Jefferson St & Monroe St
Near West Side,146,Loomis St & Jackson Blvd
Near West Side,320,Loomis St & Lexington St
Near West Side,19,Loomis St & Taylor St
Near West Side,217,May St & Fulton St
Near West Side,88,May St & Randolph St
Near West Side,22,May St & Taylor St
Near West Side,137,Morgan Ave & 14th Pl
Near West Side,71,Morgan St & Lake St
Near West Side,241,Morgan St & Polk St
Near West Side,122,Ogden Ave & Congress Pkwy
Near West Side,134,Peoria St & Jackson Blvd
Near West Side,136,Racine Ave & 13th St
